ID_cliente;genero;escolaridade;idade;estado_civil;id_estado;sigla;estado;regiao;pais;tipo_transacao_mais_frequente;tolerancia_risco;valor_investido;valor_investido_acoes;valor_investido_fii;valor_investido_dolar;valor_investido_renda_fixa;perfil
1;Masculino;Graduação;65.0;Viúvo;10;MA;Maranhão;Nordeste;Brasil;Investimentos;Baixa;971843;47473;581110;196765;146495;Conservador
2;Masculino;Pós-graduação;39.0;Casado;5;BA;Bahia;Nordeste;Brasil;Transferências;Moderado;20594;5369;4009;6662;4554;Moderado
3;Feminino;Pós-graduação;39.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Investimentos;Moderado;617958;440851;63165;25113;88829;Arrojado
4;Feminino;Ensino Médio;36.0;Solteiro;9;GO;Goiás;Centro-Oeste;Brasil;Pagamentos;Alta;893161;621503;169623;2145;99890;Arrojado
5;Masculino;Ensino Médio;57.0;Solteiro;18;PI;Piauí;Nordeste;Brasil;Transferências;Moderado;98889;29075;34819;18493;16502;Conservador
6;Feminino;Graduação;58.0;Casado;26;SE;Sergipe;Nordeste;Brasil;Transferências;Alta;709158;643009;21722;12258;32169;Arrojado
7;Feminino;Ensino Médio;47.0;Solteiro;11;MT;Mato Grosso;Centro-Oeste;Brasil;Pagamentos;Baixa;131255;9157;64987;31679;25432;Conservador
8;Feminino;Ensino Médio;33.0;Viúvo;14;PA;Pará;Norte;Brasil;Transferências;Baixa;494016;106599;207332;17235;162850;Conservador
9;Masculino;Ensino Médio;35.0;Solteiro;6;CE;Ceará;Nordeste;Brasil;Investimentos;Alta;443140;312662;69201;9260;52017;Arrojado
10;Feminino;Ensino Médio;47.0;Solteiro;18;PI;Piauí;Nordeste;Brasil;Investimentos;Moderado;191813;69168;18410;65192;39043;Moderado
11;Feminino;Ensino Médio;20.0;Solteiro;22;RO;Rondônia;Norte;Brasil;Investimentos;Baixa;942637;56503;306104;387821;192209;Conservador
12;Feminino;Pós-graduação;27.0;Viúvo;15;PB;Paraíba;Nordeste;Brasil;Pagamentos;Alta;798334;546816;199777;24457;27284;Arrojado
13;Masculino;Pós-graduação;35.0;Solteiro;18;PI;Piauí;Nordeste;Brasil;Transferências;Alta;282608;261086;10503;3652;7367;Arrojado
14;Masculino;Pós-graduação;55.0;Viúvo;3;AP;Amapá;Norte;Brasil;Pagamentos;Alta;518283;311561;19211;161830;25681;Arrojado
15;Feminino;Graduação;50.0;Casado;23;RR;Roraima;Norte;Brasil;Pagamentos;Alta;250719;26208;220201;2343;1967;Arrojado
16;Masculino;Ensino Médio;39.0;Divorciado;5;BA;Bahia;Nordeste;Brasil;Pagamentos;Baixa;635562;225214;42985;123666;243697;Conservador
17;Masculino;Ensino Médio;40.0;Solteiro;15;PB;Paraíba;Nordeste;Brasil;Transferências;Moderado;46446;10152;30043;1528;4723;Arrojado
18;Masculino;Pós-graduação;20.0;Divorciado;18;PI;Piauí;Nordeste;Brasil;Pagamentos;Alta;227152;204804;1583;19081;1684;Arrojado
19;Masculino;Ensino Médio;29.0;Solteiro;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Moderado;502642;258918;107164;31570;104990;Moderado
20;Masculino;Ensino Médio;35.0;Divorciado;19;RJ;Rio de Janeiro;Sudeste;Brasil;Transferências;Baixa;62192;8044;21855;14953;17340;Conservador
21;Feminino;Graduação;53.0;Solteiro;20;RN;Rio Grande do Norte;Nordeste;Brasil;Investimentos;Alta;985270;918179;60361;4887;1843;Arrojado
22;Masculino;Graduação;28.0;Casado;5;BA;Bahia;Nordeste;Brasil;Transferências;Alta;183783;141396;39087;3054;246;Arrojado
23;Feminino;Graduação;61.0;Viúvo;1;AC;Acre;Norte;Brasil;Pagamentos;Moderado;69887;34259;19285;8901;7442;Moderado
24;Masculino;Graduação;61.0;Divorciado;17;PE;Pernambuco;Nordeste;Brasil;Investimentos;Alta;937143;732957;40299;157856;6031;Arrojado
